section,listed_entry,normalized_series,listed_scope,entry_episode_count,series_total_episode_count,episode_count_basis,source_url,notes,budget_million,budget_per_episode_million
Total cost,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,full series aired to date,16,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Rings_of_Power,,1000,62.5
Total cost,Stranger Things,Stranger Things,full series,42,42,Wikipedia list of episodes,https://en.wikipedia.org/wiki/List_of_Stranger_Things_episodes,,910,21.66666667
Total cost,Andor,Andor,full series,24,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Andor,,650,27.08333333
Total cost,The Crown,The Crown,full series,60,60,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Crown_(TV_series),,648,10.8
Total cost,Game of Thrones,Game of Thrones,full series,73,73,Wikipedia infobox,https://en.wikipedia.org/wiki/Game_of_Thrones,,630,8.630136986
Total cost,See,See,full series,24,24,Wikipedia infobox,https://en.wikipedia.org/wiki/See_(TV_series),,360,15
Total cost,The Mandalorian,The Mandalorian,full series aired to date,24,24,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Mandalorian,,360,15
Total cost,House of the Dragon (season 1 and 2),House of the Dragon,seasons 1-2,18,18,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/House_of_the_Dragon,,360,20
Total cost,The Boys,The Boys,full series aired to date,32,32,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Boys_(TV_series),,352,11
Total cost,The Sopranos,The Sopranos,full series,86,86,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Sopranos,,301,3.5
Total cost,Citadel,Citadel,full series aired to date,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Citadel_(TV_series),Season 2 was scheduled after the extraction date; not counted as aired.,300,50
Total cost,The Wheel of Time (seasons 1 and 2),The Wheel of Time,seasons 1-2,16,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Wheel_of_Time_(TV_series),Series total includes season 3 aired by extraction date.,261,16.3125
Total cost,The Morning Show (season 1),The Morning Show,season 1,10,30,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Morning_Show_(American_TV_series),,250,25
Total cost,Arcane,Arcane,full series,18,18,Wikipedia infobox,https://en.wikipedia.org/wiki/Arcane_(TV_series),,248,13.77777778
Total cost,The Witcher,The Witcher,full series aired to date,24,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Witcher_(TV_series),,240,10
Total cost,His Dark Materials,His Dark Materials,full series,23,23,Wikipedia infobox,https://en.wikipedia.org/wiki/His_Dark_Materials_(TV_series),,230,10
Total cost,The Acolyte,The Acolyte,full series,8,8,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Acolyte,,230,28.75
Total cost,WandaVision,WandaVision,full miniseries,9,9,Wikipedia infobox,https://en.wikipedia.org/wiki/WandaVision,,225,25
Total cost,She-Hulk: Attorney at Law,She-Hulk: Attorney at Law,full series,9,9,Wikipedia infobox,https://en.wikipedia.org/wiki/She-Hulk:_Attorney_at_Law,,225,25
Total cost,Sense8,Sense8,full series,24,24,Wikipedia infobox,https://en.wikipedia.org/wiki/Sense8,,216,9
Total cost,Secret Invasion,Secret Invasion,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Secret_Invasion_(TV_series),,212,35.33333333
Total cost,1923 (season 1),1923,season 1,8,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/1923_(season_1),,200,25
Total cost,The Pacific,The Pacific,full miniseries,10,10,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Pacific,,200,20
Total cost,Marco Polo,Marco Polo,full series,20,20,Wikipedia infobox,https://en.wikipedia.org/wiki/Marco_Polo_(TV_series),,200,10
Total cost,"Doctor Who (2023 specials, series 14 and 15)",Doctor Who,listed scope only,20,,Wikipedia episode tables,https://en.wikipedia.org/wiki/Doctor_Who_(2023_specials),Scope count = 2023 specials (4) + series 14 (8) + series 15 (8); long-running programme total omitted.,178.5,8.925
Total cost,Halo,Halo,full series,17,17,Wikipedia infobox,https://en.wikipedia.org/wiki/Halo_(TV_series),,170,10
Total cost,Bridgerton,Bridgerton,full series aired to date,24,24,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Bridgerton,,168,7
Total cost,Euphoria (season 1),Euphoria,season 1,8,18,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Euphoria_(American_TV_series),Series total includes two specials and season 2.,165,20.625
Total cost,The Sandman,The Sandman,full series,22,22,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Sandman_(TV_series),,165,7.5
Total cost,3 Body Problem,3 Body Problem,season 1 / full series aired to date,8,8,Wikipedia infobox,https://en.wikipedia.org/wiki/3_Body_Problem_(TV_series),,160,20
Total cost,Fallout (season 1),Fallout,season 1,8,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Fallout_(American_TV_series),Series total may include season 2 if aired by extraction date; entry count is season 1.,153,19.125
Total cost,1923 (season 2),1923,season 2,8,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/1923_season_2,,150,18.75
Total cost,The Falcon and the Winter Soldier,The Falcon and the Winter Soldier,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Falcon_and_the_Winter_Soldier,,150,25
Total cost,Hawkeye,Hawkeye,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Hawkeye_(2021_TV_series),,150,25
Total cost,Ms. Marvel,Ms. Marvel,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Ms._Marvel_(miniseries),,150,25
Total cost,Moon Knight,Moon Knight,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Moon_Knight_(miniseries),,147,24.5
Total cost,One Piece,One Piece,season 1 / full series aired to date,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/One_Piece_(2023_TV_series),,144,18
Total cost,Band of Brothers,Band of Brothers,full miniseries,10,10,Wikipedia infobox,https://en.wikipedia.org/wiki/Band_of_Brothers_(miniseries),,125,12.5
Total cost,The Get Down,The Get Down,full series,11,11,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Get_Down,,120,10.90909091
Total cost,Ahsoka,Ahsoka,season 1,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Ahsoka_(TV_series),,120,15
Total cost,Avatar: The Last Airbender,Avatar: The Last Airbender,season 1,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Avatar:_The_Last_Airbender_(2024_TV_series),,120,15
Total cost,Percy Jackson and the Olympians,Percy Jackson and the Olympians,season 1,8,8,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Percy_Jackson_and_the_Olympians_(TV_series),,108,13.5
Total cost,The Book of Boba Fett,The Book of Boba Fett,full miniseries,7,7,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Book_of_Boba_Fett,,105,15
Total cost,Pachinko (season 1),Pachinko,season 1,8,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Pachinko_(TV_series),,104,13
Total cost,The Last of Us (season 1),The Last of Us,season 1,9,16,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/The_Last_of_Us_(season_1),Series total includes season 2 aired by extraction date.,100,11.11111111
Total cost,Beast Games,Beast Games,full season 1,10,10,Wikipedia infobox,https://en.wikipedia.org/wiki/Beast_Games,,100,10
Total cost,Succession (seasons 1-2),Succession,seasons 1-2,20,39,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Succession_(TV_series),,90,4.5
Total cost,Obi-Wan Kenobi,Obi-Wan Kenobi,full miniseries,6,6,Wikipedia infobox,https://en.wikipedia.org/wiki/Obi-Wan_Kenobi_(TV_series),,90,15
Total cost,Y: Marshals,Y: Marshals,upcoming series,13,,Wikipedia page/list entry,https://en.wikipedia.org/wiki/Y:_Marshals,Episode count not yet available in source at extraction date.,52,4
Total cost,The Young Indiana Jones Chronicles,The Young Indiana Jones Chronicles,full series,28,28,Wikipedia infobox,https://en.wikipedia.org/wiki/The_Young_Indiana_Jones_Chronicles,,27,0.964285714
Total cost,Watership Down,Watership Down,full miniseries,4,4,Wikipedia infobox,https://en.wikipedia.org/wiki/Watership_Down_(TV_series),,27,6.75
Total cost,Amazon,Amazon,full series,22,22,Wikipedia infobox,https://en.wikipedia.org/wiki/Amazon_(1999_TV_series),,26,1.181818182
Total cost,Tiny Toon Adventures (season 1),Tiny Toon Adventures,season 1,65,100,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Tiny_Toon_Adventures,,25,0.384615385
Total cost,BraveStarr,BraveStarr,full series,65,65,Wikipedia infobox,https://en.wikipedia.org/wiki/BraveStarr,,20,0.307692308
Total cost,Water Rats (season 1),Water Rats,season 1,26,177,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/Water_Rats,,16,0.615384615
Total cost,ThunderCats (season 1),ThunderCats,season 1,65,130,Wikipedia episode table / infobox,https://en.wikipedia.org/wiki/ThunderCats_(1985_TV_series),,15,0.230769231
